Threshold,Cold objs,Hot objs,Hot % (Almost),Tier1 total bytes,Tier 1 Size,Tier2 total bytes,Tier 2 Size,tier1 time,Tier 1 (time/size),tier2 time,Tier 2 (time/size),Sum,% hot (size),Hot Cost,Cold Cost,Total Cost,,Total size
0,0,1000,100,0,0,245164696,12244480,0,0,245164696,20.02246694,20.02246694,100,1224448000,0,1224448000,,12244480
20,564,436,40,114627007,6830960,130537689,5413520,573135035,83.90256055,130537689,24.11327362,108.0158342,44.21192243,541352000,6830960,548182960,,12244480
25,890,110,10,205202142,10817837,39962554,1426643,1026010710,94.8443492,39962554,28.01160066,122.8559499,11.65131553,142664300,10817837,153482137,,12244480
27,948,52,5,225418238,11580670,19746458,663810,1127091190,97.32521434,19746458,29.74715355,127.0723679,5.421300047,66381000,11580670,77961670,,12244480
30,985,15,1,238272779,12030483,6891917,213997,1191363895,99.02876676,6891917,32.20567111,131.2344379,1.747701822,21399700,12030483,33430183,,12244480
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,