Hot_tier_size, Cold_tier_size, Hot_time, Hot_accessed_size, Cold_time, Cold_accessed_size,total size = ,12244480,,hot p
2527384,9717096,4725413,1739407,1869692,690561,,,,20.64100721
2666931,9577549,4972680,1806492,1612846,513418,,,,21.78067995
2907161,9337319,5229788,2025709,858640,374311,,,,23.74262525
3049631,9194849,5298267,2133555,1044248,465520,,,,24.90616996
3288044,8956436,5447090,2121513,763578,300234,,,,26.85327593
3475757,8768723,5287322,2186401,396270,179146,,,,28.38631775
3586493,8657987,5271067,2256931,495328,209242,,,,29.29069262
3728295,8516185,5250611,2169910,512442,219568,,,,30.44878182
3898574,8345906,5572379,2433563,200596,85687,,,,31.83944112
3913185,8331295,5489554,2341736,258782,102136,,,,31.95876836
3992218,8252262,5563174,2179149,219436,98359,,,,32.60422656
4049703,8194777,5440745,2167837,247538,123769,,,,33.07370342
4113664,8130816,5647847,2323169,234430,117215,,,,33.59606941
4148023,8096457,5570536,2396754,49210,24605,,,,33.87667749
4148023,8096457,5562456,2335339,182516,91258,,,,33.87667749
4222297,8022183,5610642,2344593,240664,110430,,,,34.4832692
4244270,8000210,5638622,2319056,208664,104332,,,,34.66272149
4311095,7933385,5793663,2311196,133420,66710,,,,35.20847762
4347044,7897436,5578546,2216441,99730,49865,,,,35.50207114
4355903,7888577,5501603,2231503,373804,174526,,,,35.57442211
4437476,7807004,5603726,2340903,147742,73871,,,,36.24062435
4446236,7798244,5496686,2314229,309274,136405,,,,36.31216679
4546789,7697691,5514551,2299472,191116,80596,,,,37.13337765
4577772,7666708,5505835,2305587,135622,67811,,,,37.38641412
4588531,7655949,5476633,2290589,207674,103837,,,,37.47428229
4620262,7624218,5679758,2379122,92610,46305,,,,37.73342763
4638357,7606123,5423554,2416022,103588,51794,,,,37.88120851
4658459,7586021,5573163,2364609,124606,62303,,,,38.04538045
4671810,7572670,5636714,2460249,0,0,,,,38.15441734
4671810,7572670,5477372,2397084,38378,19189,,,,38.15441734
4671810,7572670,5680708,2460373,77740,38870,,,,38.15441734
4688298,7556182,5709256,2351325,51196,25598,,,,38.28907393
4713896,7530584,5672838,2418231,113784,56892,,,,38.4981314
4770788,7473692,5599869,2415706,127452,63726,,,,38.96276526
4784983,7459497,5565035,2393175,25770,12885,,,,39.07869505
4797868,7446612,5713373,2460677,128412,64206,,,,39.18392614
4850101,7394379,5703683,2442327,18326,9163,,,,39.61051021
4850101,7394379,5662775,2456985,23062,11531,,,,39.61051021
4861632,7382848,5631035,2461238,74548,37274,,,,39.70468325
12244480,0,5762709,2527384,0,0,,,,100