Threshold,Cold objs,Hot objs,Hot % (Almost),Tier1 freq,tier2 freq,tier1 time,tier2 time,Sum,,Hot Cost,Cold Cost,Total Cost
0,0,1000,100,0,20078,0,20078,20078,,100000,0,100000
20,552,448,50,9289,10789,46445,10789,57234,,44800,552,45352
25,884,116,10,16830,3248,84150,3248,87398,,11600,884,12484
27,945,55,5,18445,1633,92225,1633,93858,,5500,945,6445
30,984,16,1,19561,517,97805,517,98322,,1600,984,2584
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,